Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
GRFS,"Grifols, S.A.",21.46,$14.66B,n/a,Health Care,Major Pharmaceuticals,NASDAQ
GRPN,"Groupon, Inc.",3.05,$1.71B,2011,Technology,Advertising,NASDAQ
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,44.43,$2.19B,2006,Transportation,Aerospace,NASDAQ
GGAL,Grupo Financiero Galicia S.A.,46.61,$6.06B,n/a,Finance,Commercial Banks,NASDAQ
GSIT,"GSI Technology, Inc.",8.42,$171.63M,2007,Technology,Semiconductors,NASDAQ
GSVC,GSV Capital Corp,4.54,$100.7M,2011,n/a,n/a,NASDAQ
GTXI,"GTx, Inc.",3.41,$54.7M,2004,Health Care,Major Pharmaceuticals,NASDAQ
GTYH,"GTY Technology Holdings, Inc.",9.95,$686.55M,2016,Finance,Business Services,NASDAQ
GTYHU,"GTY Technology Holdings, Inc.",10.59,n/a,2016,n/a,n/a,NASDAQ
GTYHW,"GTY Technology Holdings, Inc.",1.5,n/a,2016,Finance,Business Services,NASDAQ
GBNK,Guaranty Bancorp,25.9,$735.39M,n/a,Finance,Major Banks,NASDAQ
GNTY,"Guaranty Bancshares, Inc.",33.34,$358.54M,2017,Finance,Major Banks,NASDAQ
GFED,"Guaranty Federal Bancshares, Inc.",19.9,$87.98M,n/a,Finance,Major Banks,NASDAQ
GUID,"Guidance Software, Inc.",6.53,$218.13M,2006,Technology,Computer Software: Prepackaged Software,NASDAQ
GIFI,"Gulf Island Fabrication, Inc.",9.85,$146.28M,1997,Capital Goods,Metal Fabrications,NASDAQ
GURE,"Gulf Resources, Inc.",1.76,$82.36M,n/a,Basic Industries,Major Chemicals,NASDAQ
GPOR,Gulfport Energy Corporation,13.23,$2.42B,n/a,Energy,Oil & Gas Production,NASDAQ
GWPH,GW Pharmaceuticals Plc,99.53,$2.52B,2013,Health Care,Major Pharmaceuticals,NASDAQ
GWGH,"GWG Holdings, Inc",10.03,$57.97M,2014,Finance,Life Insurance,NASDAQ
GYRO,"Gyrodyne , LLC",20.79,$30.82M,n/a,Consumer Services,Building operators,NASDAQ
